area,file,host,database,note
backend-test,programs.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,provider-service-codes.php,,,includes_config
backend-test,providers.php,,,includes_config
backend-test,rbac-catalog.php,,,uses_getDBConnection
backend-test,rbac-matrix.php,,,uses_getDBConnection
backend-test,rbac-save-role.php,,,uses_getDBConnection
backend-test,reports-old.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,reports.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,reset-password-with-otp.php,,,unknown
backend-test,send-otp.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,service-codes.php,,,includes_config
backend-test,session-notes.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,sso_login.php,{$host},{$dbname},env
backend-test,staff-backup.php,,,includes_config
backend-test,staff.php,,,includes_config
backend-test,test.php,,,unknown
backend-test,test-simple.php,,,unknown
backend-test,treatment-types.php,,,includes_config
backend-test,update-clients.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,update-users.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,upload-client-document.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,upload-staff-document.php,,,includes_config
backend-test,verify-otp.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,verify.php,,,includes_config
backend-test,view-client-document.php,,,includes_config
backend-test,view-client-upload.php,,,includes_config
